action;iteration;particle;x;y;fitness;velocity_x;velocity_y
0;1;0;1.461928;-1.683052;38.768651;0.488929;0.406815
0;1;1;7.014824;8.784724;134.257960;-1.000000;-1.000000
0;1;2;-4.151525;-5.353443;66.145963;1.000000;1.000000
0;1;3;-6.582897;-10.000000;162.008467;-0.705687;0.000000
0;1;4;5.835624;-5.556601;89.180468;-1.000000;0.783660
0;1;5;0.129281;5.484373;53.168550;-0.925192;-1.000000
0;1;6;2.443196;7.408878;98.635789;0.458289;-0.804193
0;1;7;1.637770;-5.304652;60.669993;-0.668126;1.000000
0;1;8;6.179565;1.418889;64.646992;1.000000;-1.000000
0;1;9;1.211236;0.634422;26.098310;-1.000000;-1.000000
0;1;10;7.298140;-5.517525;116.624150;-1.000000;1.000000
0;1;11;-9.035810;3.260027;103.155277;-1.000000;-1.000000
0;1;12;-6.384875;-5.404558;105.726931;1.000000;1.000000
0;1;13;6.583682;-4.220869;87.989702;-1.000000;-0.159779
0;1;14;4.855126;2.341646;48.365560;-1.000000;-1.000000
0;1;15;-1.041373;-2.135353;9.383694;-1.000000;-0.174583
0;1;16;5.564978;-8.507258;142.510128;-1.000000;1.000000
0;1;17;8.852924;0.109569;84.638409;-1.000000;1.000000
0;1;18;-6.446519;1.647815;79.701981;-1.000000;-1.000000
0;1;19;-1.976272;-6.518082;66.437505;-0.703758;1.000000
0;1;20;2.719428;-6.467111;80.915186;1.000000;1.000000
0;1;21;8.282483;-4.627147;119.011897;-1.000000;0.646030
0;1;22;1.186357;-3.297853;31.351817;-0.960474;1.000000
0;1;23;5.792609;3.795308;62.504840;-1.000000;-1.000000
0;1;24;-1.421012;-7.067938;71.665875;0.213442;1.000000
0;1;25;-5.691711;-4.736685;79.248481;1.000000;1.000000
0;1;26;5.731577;5.931032;80.107379;-0.992650;-1.000000
0;1;27;3.900631;-6.441614;77.930534;1.000000;1.000000
0;1;28;2.937461;5.324708;52.266886;-1.000000;-1.000000
0;1;29;0.009877;-8.525747;92.577144;0.689425;1.000000
0;1;30;-4.287164;4.940506;55.792861;-0.023876;-0.806999
