action;iteration;particle;x;y;fitness
0;1;0;4.776460;4.203230;0.043952
0;1;1;0.152304;-5.836596;0.205412
0;1;2;3.667474;-1.241793;0.446733
0;1;3;-12.417548;-12.903718;0.588003
0;1;4;0.271886;9.182977;0.121983
0;1;5;-7.011310;18.859797;0.709248
0;1;6;11.066380;5.236024;0.198409
0;1;7;2.193561;13.783982;0.827859
0;1;8;26.857573;-1.911066;0.651752
0;1;9;-20.711575;-11.112175;0.706081
0;1;10;5.912077;9.082103;0.880419
0;1;11;-22.833023;-10.538594;0.312450
0;1;12;12.681808;9.230743;0.178285
0;1;13;-9.462306;-1.311281;0.093801
0;1;14;0.453355;5.632211;0.358875
0;1;15;-18.067173;-1.762378;0.450045
0;1;16;12.230789;-16.471363;0.743155
0;1;17;-22.684837;1.643705;0.486007
0;1;18;-10.912220;-17.388159;0.741690
0;1;19;1.214882;-20.086460;0.709868
0;1;20;-6.729650;-2.083418;0.478396
0;1;21;8.744059;0.897269;0.372186
0;1;22;13.671326;-2.222495;0.795820
0;1;23;12.725679;-0.852524;0.155917
0;1;24;-2.365392;1.575760;0.093582
0;1;25;26.716972;-23.861824;0.578422
0;1;26;-0.007105;4.524209;0.946539
0;1;27;-6.987561;-1.207798;0.520475
0;1;28;23.182316;-18.018534;0.581801
0;1;29;-6.490928;2.312429;0.341134
0;1;30;-9.474999;-1.389113;0.099587
0;1;31;24.603952;-10.739984;0.662075
0;1;32;-0.192417;4.758800;0.975649
0;1;33;-5.748877;0.985036;0.209698
0;1;34;2.620821;-6.243366;0.243821
0;1;35;-23.004206;-0.129299;0.594164
0;1;36;-1.475622;1.028638;0.946033
0;1;37;-17.784245;2.065140;0.590417
0;1;38;-2.906936;3.966134;0.937171
0;1;39;-10.803695;-0.128175;0.871996
0;1;40;0.065898;-14.091346;0.846600
0;1;41;-17.994423;2.898046;0.410234
0;1;42;-2.785339;10.230118;0.785505
0;1;43;16.208586;5.823293;0.795546
0;1;44;6.865712;-8.048521;0.772029
0;1;45;-2.568790;-0.205995;0.289080
0;1;46;-5.246754;31.878208;0.525135
0;1;47;-2.071104;12.558970;0.149028
0;1;48;1.790682;8.909824;0.166557
0;2;0;2.640683;1.624038;0.011161
0;2;1;0.011377;-0.293791;0.084052
0;2;2;-1.019430;-0.753193;0.909477
0;2;3;-8.187901;-4.591272;0.078891
0;2;4;0.365064;12.646470;0.133863
0;2;5;-0.996492;9.905463;0.298153
0;2;6;5.989503;2.784224;0.132779
0;2;7;1.558475;4.139949;0.902956
0;2;8;-8.140223;-0.779504;0.850515
0;2;9;2.893147;4.074538;0.900778
0;2;10;6.080752;8.262829;0.540016
0;2;11;4.800859;10.290740;0.794970
0;2;12;8.352448;11.618849;0.824230
0;2;13;-15.199648;-0.145579;0.325990
0;2;14;0.009820;6.675979;0.176039
0;2;15;-24.658096;-0.535838;0.385627
0;2;16;-2.667311;7.164165;0.907744
0;2;17;-2.423090;1.271263;0.160547
0;2;18;-1.838650;3.581776;0.595377
0;2;19;0.079446;-0.277857;0.081287
0;2;20;-4.554208;0.421810;0.961384
0;2;21;-6.302732;-0.782163;0.042273
0;2;22;16.177330;-0.592143;0.320066
0;2;23;5.115058;-0.627883;0.801528
0;2;24;-2.488462;2.135649;0.029012
0;2;25;30.604580;-19.928633;0.564902
0;2;26;0.091801;3.308182;0.038088
0;2;27;-0.662968;-0.101813;0.386446
0;2;28;31.204880;-3.397364;0.373321
0;2;29;-3.712542;0.359200;0.313187
0;2;30;3.539082;0.624302;0.198700
0;2;31;6.638796;1.871922;0.347265
0;2;32;-0.067382;6.030591;0.092462
0;2;33;0.429085;1.415286;0.989436
0;2;34;-2.423897;-3.689627;0.898234
0;2;35;6.102409;0.096636;0.065061
0;2;36;-0.617587;-1.255263;0.968926
0;2;37;-1.307812;3.320316;0.179725
0;2;38;-1.831236;-0.828447;0.816693
0;2;39;-14.561112;0.132673;0.724859
0;2;40;-0.144612;-5.262069;0.713325
