action;iteration;particle;x;y;fitness;velocity_x;velocity_y
0;1;0;10.729993;-19.898674;0.427286;1.000000;1.000000
0;1;1;79.148239;96.847244;0.499307;-1.000000;-1.000000
0;1;2;-50.515259;-64.534431;0.492822;1.000000;-1.000000
0;1;3;-59.772099;-100.000000;0.497964;-1.000000;0.000000
0;1;4;67.356239;-62.402607;0.499200;-1.000000;1.000000
0;1;5;9.544728;65.843735;0.492556;-1.000000;1.000000
0;1;6;20.849064;81.130714;0.504011;1.000000;-1.000000
0;1;7;24.058954;-62.046516;0.493048;1.000000;1.000000
0;1;8;50.795647;23.188892;0.495588;-1.000000;-1.000000
0;1;9;23.112362;15.344217;0.422557;1.000000;-1.000000
0;1;10;81.981400;-64.175247;0.497727;-1.000000;1.000000
0;1;11;-81.358093;41.600269;0.495098;-1.000000;-1.000000
0;1;12;-72.848747;-63.045578;0.502370;1.000000;1.000000
0;1;13;74.836823;-39.610889;0.492842;-1.000000;1.000000
0;1;14;57.551262;32.416462;0.482834;-1.000000;-1.000000
0;1;15;-1.413727;-20.607697;0.718841;-1.000000;-1.000000
0;1;16;64.649773;-96.072586;0.498463;-1.000000;-1.000000
0;1;17;97.529243;-9.904309;0.498739;-1.000000;-1.000000
0;1;18;-55.465191;25.478148;0.520181;-1.000000;-1.000000
0;1;19;-13.725145;-76.180824;0.506543;-1.000000;-1.000000
0;1;20;16.194275;-75.671112;0.506901;-1.000000;-1.000000
0;1;21;93.824829;-51.941750;0.497907;1.000000;0.790014
0;1;22;22.468319;-41.978527;0.473857;1.000000;1.000000
0;1;23;66.926094;46.953083;0.491620;-1.000000;-1.000000
0;1;24;-17.344542;-79.679382;0.491770;-1.000000;1.000000
0;1;25;-65.917107;-58.366848;0.493554;1.000000;-1.000000
0;1;26;66.242271;68.310318;0.501186;-1.000000;-1.000000
0;1;27;30.006308;-73.416138;0.499741;1.000000;1.000000
0;1;28;38.374611;62.247082;0.502057;-1.000000;-1.000000
0;1;29;-7.795481;-94.257477;0.496016;-1.000000;1.000000
0;1;30;-43.632877;56.475040;0.502785;-1.000000;-1.000000
0;1;31;-5.731248;-65.450485;0.484874;1.000000;1.000000
0;1;32;78.565704;-77.596199;0.498304;-1.000000;1.000000
0;1;33;72.136551;-49.291012;0.497518;-1.000000;1.000000
0;1;34;51.954426;16.646313;0.521021;-1.000000;-1.000000
0;1;35;0.372148;-22.636679;0.440945;-1.000000;-0.166177
0;1;36;88.222557;-58.414616;0.501432;-1.000000;1.000000
0;1;37;18.705288;-27.036020;0.612659;-1.000000;-1.000000
0;1;38;-90.654297;-51.037991;0.497318;-1.000000;1.000000
0;1;39;-38.691441;-76.977432;0.506255;-1.000000;1.000000
0;1;40;34.207127;81.396225;0.494873;-1.000000;-1.000000
0;1;41;22.209286;6.751280;0.661716;-1.000000;-1.000000
0;1;42;46.284172;-26.149502;0.469919;-1.000000;1.000000
0;1;43;-53.983334;-34.762592;0.517625;1.000000;-1.000000
0;1;44;-0.335709;-67.863113;0.512769;0.982676;-1.000000
0;1;45;-52.700752;-61.489521;0.498476;-1.000000;1.000000
0;1;46;-21.080271;-67.088501;0.510571;-1.000000;1.000000
0;1;47;-11.040154;-19.993914;0.527106;1.000000;1.000000
0;1;48;22.852093;79.941292;0.507797;1.000000;-1.000000
0;2;0;11.459837;-19.168831;0.327499;0.729844;0.729844
0;2;1;78.148239;95.847244;0.501244;-1.000000;-1.000000
0;2;2;-49.515259;-63.534431;0.505683;1.000000;1.000000
0;2;3;-59.513603;-99.000000;0.499720;0.258497;1.000000
0;2;4;66.356239;-61.402607;0.498980;-1.000000;1.000000
0;2;5;10.544728;66.086494;0.505354;1.000000;0.242761
0;2;6;19.849064;80.130714;0.501396;-1.000000;-1.000000
0;2;7;23.058954;-61.046516;0.497537;-1.000000;1.000000
0;2;8;49.795647;22.188892;0.519087;-1.000000;-1.000000
0;2;9;23.842205;14.614373;0.371769;0.729844;-0.729844
0;2;10;80.981400;-63.175247;0.501309;-1.000000;1.000000
0;2;11;-80.500214;42.600269;0.494223;0.857882;1.000000
0;2;12;-71.848747;-62.045578;0.498988;1.000000;1.000000
0;2;13;74.106979;-38.881046;0.505031;-0.729844;0.729844
0;2;14;56.821419;31.686619;0.504649;-0.729844;-0.729844
0;2;15;-0.413727;-21.607697;0.331449;1.000000;-1.000000
0;2;16;63.649773;-95.072586;0.502195;-1.000000;1.000000
0;2;17;96.529243;-10.904309;0.495955;-1.000000;-1.000000
0;2;18;-56.465191;24.478148;0.518446;-1.000000;-1.000000
0;2;19;-14.725145;-75.180824;0.507971;-1.000000;1.000000
0;2;20;17.194275;-74.671112;0.508183;1.000000;1.000000
0;2;21;92.824829;-50.941750;0.500954;-1.000000;1.000000
0;2;22;23.198162;-41.248684;0.456142;0.729844;0.729844
0;2;23;65.926094;45.953083;0.507883;-1.000000;-1.000000
0;2;24;-16.344542;-78.679382;0.507902;1.000000;1.000000
0;2;25;-64.917107;-59.366848;0.493453;1.000000;-1.000000
0;2;26;65.242271;67.310318;0.497246;-1.000000;-1.000000
0;2;27;31.006308;-72.416138;0.491415;1.000000;1.000000
