action;iteration;particle;x;y;fitness;velocity_x;velocity_y
0;1;0;10.729993;-19.898674;511.089974;1.000000;1.000000
0;1;1;79.148239;96.847244;15643.832480;-1.000000;-1.000000
0;1;2;-50.515259;-62.534431;6462.346488;1.000000;1.000000
0;1;3;-59.772099;-98.568001;13288.354544;-1.000000;1.000000
0;1;4;67.356239;-62.402607;8430.948331;-1.000000;1.000000
0;1;5;9.544728;63.843735;4167.124304;-1.000000;-1.000000
0;1;6;20.849064;81.130714;7016.876286;1.000000;-1.000000
0;1;7;22.058954;-62.046516;4336.367662;-1.000000;1.000000
0;1;8;50.795647;23.188892;3117.922449;-1.000000;-1.000000
0;1;9;21.112362;15.344217;681.176830;-1.000000;-1.000000
0;1;10;81.981400;-64.175247;10839.412222;-1.000000;1.000000
0;1;11;-81.358093;41.600269;8349.721746;-1.000000;-1.000000
0;1;12;-72.848747;-63.045578;9281.684882;1.000000;1.000000
0;1;13;74.836823;-41.610889;7332.016123;-1.000000;-1.000000
0;1;14;57.551262;32.416462;4362.974752;-1.000000;-1.000000
0;1;15;-1.413727;-20.607697;426.675780;-1.000000;-1.000000
0;1;16;64.649773;-96.072586;13409.534895;-1.000000;-1.000000
0;1;17;97.529243;-7.904309;9574.431437;-1.000000;1.000000
0;1;18;-55.465191;25.478148;3725.523401;-1.000000;-1.000000
0;1;19;-13.725145;-74.180824;5691.174305;-1.000000;1.000000
0;1;20;18.194275;-73.671112;5758.464391;1.000000;1.000000
0;1;21;91.824829;-51.731762;11107.974432;-1.000000;1.000000
0;1;22;22.468319;-41.978527;2267.022091;1.000000;1.000000
0;1;23;66.926094;46.953083;6683.694072;-1.000000;-1.000000
0;1;24;-15.344542;-79.679382;6584.258923;1.000000;1.000000
0;1;25;-65.917107;-56.366848;7522.286499;1.000000;1.000000
0;1;26;66.242271;68.310318;9054.338068;-1.000000;-1.000000
0;1;27;30.006308;-73.416138;6290.307770;1.000000;1.000000
0;1;28;40.374611;62.247082;5504.808393;1.000000;-1.000000
0;1;29;-5.795481;-94.257477;8918.059536;1.000000;1.000000
0;1;30;-41.632877;56.475040;4922.726669;1.000000;-1.000000
0;1;31;-5.731248;-67.450485;4582.415160;1.000000;-1.000000
0;1;32;78.565704;-77.596199;12193.740004;-1.000000;1.000000
0;1;33;72.136551;-49.291012;7633.285822;-1.000000;1.000000
0;1;34;51.954426;16.646313;2976.362088;-1.000000;-1.000000
0;1;35;0.372148;-22.636679;512.557716;-1.000000;-0.166177
0;1;36;88.222557;-58.414616;11195.486895;-1.000000;1.000000
0;1;37;18.705288;-25.036020;976.690108;-1.000000;1.000000
0;1;38;-88.654297;-51.037991;10464.460836;1.000000;1.000000
0;1;39;-36.691441;-77.611549;7369.814409;1.000000;0.365886
0;1;40;34.207127;81.396225;7795.472952;-1.000000;-1.000000
0;1;41;22.209286;6.751280;538.832152;-1.000000;-1.000000
0;1;42;46.284172;-26.149502;2826.021028;-1.000000;1.000000
0;1;43;-53.983334;-32.762592;3987.587760;1.000000;1.000000
0;1;44;-0.318386;-65.863113;4338.051077;1.000000;1.000000
0;1;45;-50.700752;-63.489521;6601.485560;1.000000;-1.000000
0;1;46;-20.063410;-67.088501;4903.407376;0.016861;1.000000
0;1;47;-13.040154;-19.993914;569.802211;-1.000000;1.000000
0;1;48;20.852093;79.941292;6825.419908;-1.000000;-1.000000
0;2;0;11.459837;-19.168831;498.771940;0.729844;0.729844
