action;iteration;particle;x;y;fitness;velocity_x;velocity_y
0;1;0;10.729993;-21.898674;3.348219;1.000000;-1.000000
0;1;1;79.148239;96.847244;3.787591;-1.000000;-1.000000
0;1;2;-51.155922;-62.534431;5.521663;0.359335;1.000000
0;1;3;-59.184956;-98.568001;4.808463;-0.412855;1.000000
0;1;4;67.356239;-62.402607;5.021256;-1.000000;1.000000
0;1;5;9.544728;63.843735;5.192306;-1.000000;-1.000000
0;1;6;20.849064;81.130714;3.695033;1.000000;-1.000000
0;1;7;24.058954;-62.046516;2.115236;1.000000;1.000000
0;1;8;50.795647;23.188892;4.191304;-1.000000;-1.000000
0;1;9;23.112362;15.344217;2.933082;1.000000;-1.000000
0;1;10;83.981400;-64.175247;2.927091;1.000000;1.000000
0;1;11;-81.358093;41.600269;4.949965;-1.000000;-1.000000
0;1;12;-72.848747;-63.045578;2.850670;1.000000;1.000000
0;1;13;74.836823;-41.610889;5.298811;-1.000000;-1.000000
0;1;14;57.551262;32.416462;5.771206;-1.000000;-1.000000
0;1;15;-1.413727;-18.607697;5.803555;-1.000000;1.000000
0;1;16;66.649773;-94.072586;3.092112;1.000000;1.000000
0;1;17;97.529243;-7.904309;4.642736;-1.000000;1.000000
0;1;18;-55.465191;25.478148;6.816163;-1.000000;-1.000000
0;1;19;-13.725145;-76.180824;4.443334;-1.000000;-1.000000
0;1;20;16.194275;-73.671112;3.752010;-1.000000;1.000000
0;1;21;91.824829;-51.731762;4.448377;-1.000000;1.000000
0;1;22;22.468319;-41.978527;3.928690;1.000000;1.000000
0;1;23;68.926094;47.082726;2.032484;1.000000;-0.870359
0;1;24;-15.344542;-79.679382;3.608736;1.000000;1.000000
0;1;25;-65.917107;-58.366848;3.384709;1.000000;-1.000000
0;1;26;66.306351;68.310318;3.833474;-0.935924;-1.000000
0;1;27;28.006308;-73.416138;3.171133;-1.000000;1.000000
0;1;28;40.374611;62.247082;4.346821;1.000000;-1.000000
0;1;29;-7.795481;-94.257477;4.089000;-1.000000;1.000000
0;1;30;-41.632877;56.475040;5.751579;1.000000;-1.000000
0;1;31;-5.731248;-67.450485;5.211509;1.000000;-1.000000
0;1;32;78.565704;-77.596199;5.669240;-1.000000;1.000000
0;1;33;72.136551;-51.291012;3.799546;-1.000000;-1.000000
0;1;34;53.954426;16.646313;3.070623;1.000000;-1.000000
0;1;35;0.372148;-23.470501;5.695679;-1.000000;-1.000000
0;1;36;88.222557;-58.414616;4.492346;-1.000000;1.000000
0;1;37;18.705288;-27.036020;2.478482;-1.000000;-1.000000
0;1;38;-88.654297;-53.037991;2.438833;1.000000;-1.000000
0;1;39;-38.691441;-76.977432;2.422140;-1.000000;1.000000
0;1;40;34.207127;81.396225;4.842167;-1.000000;-1.000000
0;1;41;22.209286;6.751280;3.918105;-1.000000;-1.000000
0;1;42;46.284172;-26.149502;3.961189;-1.000000;1.000000
0;1;43;-53.983334;-32.762592;2.476645;1.000000;1.000000
0;1;44;-2.318386;-65.863113;3.597419;-1.000000;1.000000
