action;iteration;particle;x;y;fitness;velocity_x;velocity_y
0;1;0;19.729992;-18.554392;16.145242;10.000000;2.344283
0;1;1;70.148239;87.847244;22.791039;-10.000000;-10.000000
0;1;2;-41.515259;-53.534431;27.363751;10.000000;10.000000
0;1;3;-68.772095;-89.568001;23.223720;-10.000000;10.000000
0;1;4;58.356239;-53.402607;20.663965;-10.000000;10.000000
0;1;5;0.544728;61.529903;29.064381;-10.000000;-3.313830
0;1;6;29.849064;72.130714;24.415940;10.000000;-10.000000
0;1;7;33.058952;-53.046516;20.735058;10.000000;10.000000
0;1;8;61.795647;14.188892;17.842721;10.000000;-10.000000
0;1;9;32.112362;6.344217;12.170826;10.000000;-10.000000
0;1;10;86.152596;-55.175247;23.907242;3.171199;10.000000
0;1;11;-90.358093;32.600269;16.064167;-10.000000;-10.000000
0;1;12;-65.452354;-54.045578;27.122351;8.396391;10.000000
0;1;13;65.836823;-34.443611;18.061785;-10.000000;6.167279
0;1;14;55.413166;23.416462;19.623626;-3.138094;-10.000000
0;1;15;9.586273;-29.607697;24.771334;10.000000;-10.000000
0;1;16;75.649773;-100.000000;21.361641;10.000000;0.000000
0;1;17;88.529243;-0.476034;18.308105;-10.000000;8.428275
0;1;18;-64.465195;20.377335;17.091718;-10.000000;-6.100814
0;1;19;-22.725145;-65.180824;25.283792;-10.000000;10.000000
0;1;20;20.819729;-76.172470;20.392679;3.625453;-1.501356
0;1;21;82.824829;-62.731762;21.345968;-10.000000;-10.000000
0;1;22;11.468319;-32.978527;24.920035;-10.000000;10.000000
0;1;23;77.926094;50.877060;31.374106;10.000000;2.923978
0;1;24;-23.130442;-70.679382;22.056339;-6.785900;10.000000
0;1;25;-56.917107;-56.454891;26.208094;10.000000;0.911958
0;1;26;57.242271;59.310318;21.707502;-10.000000;-10.000000
0;1;27;22.046907;-75.361382;20.321316;-6.959401;-0.945246
0;1;28;48.943233;53.247082;24.838239;9.568624;-10.000000
0;1;29;-16.795481;-91.984261;21.089999;-10.000000;3.273218
0;1;30;-52.190735;56.064682;13.837828;-9.557856;-1.410357
0;1;31;3.268752;-59.498569;29.900790;10.000000;6.951915
0;1;32;79.270851;-73.461548;18.721266;-0.294854;5.134655
0;1;33;63.136551;-40.291012;20.354021;-10.000000;10.000000
0;1;34;50.196167;7.646313;15.084577;-2.758257;-10.000000
0;1;35;-7.836043;-13.933016;20.095027;-9.208191;8.537485
0;1;36;79.222557;-49.414616;24.992841;-10.000000;10.000000
0;1;37;9.705288;-16.036020;17.325474;-10.000000;10.000000
0;1;38;-79.654297;-42.037991;26.922912;10.000000;10.000000
0;1;39;-27.691441;-78.569450;20.568986;10.000000;-0.592015
0;1;40;25.207127;72.396225;25.806183;-10.000000;-10.000000
0;1;41;13.209286;10.742794;14.878591;-10.000000;2.991514
0;1;42;39.860977;-17.149502;14.945165;-7.423194;10.000000
0;1;43;-44.983334;-23.762592;26.844868;10.000000;10.000000
0;1;44;8.681614;-56.863113;29.739530;10.000000;10.000000
0;1;45;-41.700752;-62.835102;23.694234;10.000000;-0.345582
0;1;46;-10.080271;-58.088501;30.259061;10.000000;10.000000
0;1;47;-2.040154;-10.993914;17.847813;10.000000;10.000000
0;1;48;24.351740;70.941292;26.650922;2.499647;-10.000000
0;2;0;29.729992;-14.798521;13.317466;10.000000;3.755870
0;2;1;60.148239;77.847244;22.121382;-10.000000;-10.000000
0;2;2;-31.515259;-43.534431;27.015997;10.000000;10.000000
0;2;3;-68.709816;-79.568001;21.225564;0.062282;10.000000
0;2;4;48.356239;-43.402607;19.566220;-10.000000;10.000000
0;2;5;-9.455272;53.283615;25.708833;-10.000000;-8.246289
0;2;6;27.351917;62.130714;27.154308;-2.497146;-10.000000
0;2;7;31.832672;-43.046516;20.910872;-1.226279;10.000000
0;2;8;54.125694;5.758884;13.879757;-7.669950;-8.430008
0;2;9;39.410801;-0.954223;11.563080;7.298440;-7.298440
0;2;10;76.152596;-45.175247;24.803717;-10.000000;10.000000
0;2;11;-93.816917;40.682774;19.136629;-3.458821;8.082505
0;2;12;-75.452354;-44.045578;28.133007;-10.000000;10.000000
0;2;13;55.836823;-24.443611;15.652073;-10.000000;10.000000
0;2;14;59.658592;13.416462;17.252378;4.245426;-10.000000
0;2;15;19.586273;-19.607697;16.653114;10.000000;10.000000
0;2;16;67.336334;-90.000000;18.295311;-8.313442;10.000000
0;2;17;78.529243;6.046988;20.467536;-10.000000;6.523022
0;2;18;-73.663475;30.377335;11.889940;-9.198280;10.000000
0;2;19;-28.834511;-55.180824;29.027844;-6.109366;10.000000
0;2;20;30.819729;-66.172470;17.928657;10.000000;10.000000
0;2;21;72.824829;-52.731762;24.884127;-10.000000;10.000000
0;2;22;1.468319;-22.978527;26.582369;-10.000000;10.000000
0;2;23;67.926094;59.688652;25.871776;-10.000000;8.811594
0;2;24;-33.130440;-60.679382;24.673618;-10.000000;10.000000
0;2;25;-56.406322;-46.454891;24.718406;0.510785;10.000000
0;2;26;47.242271;49.310318;24.647607;-10.000000;-10.000000
0;2;27;31.034485;-65.361382;18.087628;8.987576;10.000000
0;2;28;49.630463;43.247082;23.799811;0.687229;-10.000000
0;2;29;-26.795481;-81.984261;20.742326;-10.000000;10.000000
0;2;30;-42.190735;56.967571;14.214774;10.000000;0.902890
0;2;31;-6.731248;-49.498569;29.719492;-10.000000;10.000000
0;2;32;79.055656;-69.714050;20.140486;-0.215197;3.747497
0;2;33;53.136551;-30.291012;16.948168;-10.000000;10.000000
0;2;34;40.196167;0.377173;12.191324;-10.000000;-7.269140
0;2;35;2.163957;-3.933016;10.079063;10.000000;10.000000
0;2;36;69.222557;-39.414616;21.124971;-10.000000;10.000000
0;2;37;-0.294712;-6.036020;13.496276;-10.000000;10.000000
0;2;38;-69.654297;-32.037991;26.800799;10.000000;10.000000
0;2;39;-17.691441;-68.569450;25.708563;10.000000;10.000000
0;2;40;27.250042;62.396225;27.234996;2.042916;-10.000000
0;2;41;16.692381;6.252059;10.940776;3.483096;-4.490735
0;2;42;29.860977;-7.149502;10.671116;-10.000000;10.000000
0;2;43;-34.983334;-13.762592;24.336174;10.000000;10.000000
0;2;44;6.806114;-51.862995;31.825885;-1.875500;5.000117
0;2;45;-31.700752;-52.835102;28.929614;10.000000;10.000000
0;2;46;-7.128200;-48.088501;30.430996;2.952071;10.000000
0;2;47;7.959846;-1.883442;7.460137;10.000000;9.110472
0;2;48;25.719723;60.941292;28.466753;1.367983;-10.000000
0;3;0;37.131474;-4.798521;10.787858;7.401483;10.000000
0;3;1;50.148239;67.847244;22.961398;-10.000000;-10.000000
0;3;2;-21.805405;-53.534431;30.909989;9.709853;-10.000000
0;3;3;-58.709816;-69.568001;26.652370;10.000000;10.000000
0;3;4;38.356239;-34.387821;18.477481;-10.000000;9.014787
0;3;5;-4.540400;48.467384;26.260655;4.914872;-4.816232
0;3;6;17.351917;52.130714;26.498125;-10.000000;-10.000000
0;3;7;30.004202;-33.046516;19.319475;-1.828470;10.000000
0;3;8;44.125694;-4.241116;13.580288;-10.000000;-10.000000
0;3;9;44.737522;-6.280945;14.313915;5.326723;-5.326723
0;3;10;66.152596;-35.175247;18.345417;-10.000000;10.000000
0;3;11;-83.816917;47.479546;13.094984;10.000000;6.796771
0;3;12;-81.001450;-45.724983;28.211133;-5.549096;-1.679405
0;3;13;45.836823;-14.443611;16.782108;-10.000000;10.000000
0;3;14;60.344128;3.416462;14.037136;0.685535;-10.000000
0;3;15;29.586273;-9.607697;11.731873;10.000000;10.000000
0;3;16;58.036480;-80.000000;15.475774;-9.299855;10.000000
0;3;17;76.896759;3.875425;19.194457;-1.632487;-2.171562
0;3;18;-80.376785;37.675774;13.276503;-6.713310;7.298440
0;3;19;-38.834511;-45.180824;27.138947;-10.000000;10.000000
0;3;20;40.819729;-56.172470;19.910640;10.000000;10.000000
0;3;21;62.824829;-42.731762;20.975417;-10.000000;10.000000
0;3;22;-8.531681;-12.978527;19.888800;-10.000000;10.000000
0;3;23;57.926094;63.328587;21.395024;-10.000000;3.639934
0;3;24;-43.130440;-50.679382;26.336472;-10.000000;10.000000
0;3;25;-66.406326;-36.454891;24.762900;-10.000000;10.000000
0;3;26;40.034180;39.310318;23.958832;-7.208091;-10.000000
0;3;27;41.034485;-55.361382;19.924575;10.000000;10.000000
0;3;28;39.630463;33.852089;24.131808;-10.000000;-9.394993
0;3;29;-16.795481;-71.984261;23.363554;10.000000;10.000000
0;3;30;-32.190735;46.967571;18.632411;10.000000;-10.000000
0;3;31;-6.504684;-39.498569;29.442679;0.226563;10.000000
0;3;32;69.055656;-66.278725;19.525691;-10.000000;3.435328
0;3;33;43.136551;-20.291012;16.762365;-10.000000;10.000000
0;3;34;30.196167;-9.622828;11.611625;-10.000000;-10.000000
0;3;35;9.462397;3.365424;9.702541;7.298440;7.298440
0;3;36;59.222557;-29.414616;16.892259;-10.000000;10.000000
0;3;37;-7.593152;1.262420;11.387780;-7.298440;7.298440
0;3;38;-59.654297;-22.037991;26.315676;10.000000;10.000000
0;3;39;-11.115229;-58.569450;29.899700;6.576211;10.000000
0;3;40;26.325670;72.396225;25.350214;-0.924371;10.000000
0;3;41;14.784084;-3.747941;8.688640;-1.908297;-10.000000
0;3;42;19.860977;2.850498;9.639788;-10.000000;10.000000
0;3;43;-24.983334;-6.246805;20.724892;10.000000;7.515788
0;3;44;-3.193886;-41.862995;29.737490;-10.000000;10.000000
0;3;45;-21.700752;-42.835102;30.099041;10.000000;10.000000
0;3;46;-10.157323;-38.088501;27.937234;-3.029123;10.000000
0;3;47;15.258286;4.765781;9.995341;7.298440;6.649223
0;3;48;15.719723;55.430840;25.029390;-10.000000;-5.510454
0;4;0;41.385612;5.201479;13.237297;4.254140;10.000000
0;4;1;40.148239;57.847244;23.765747;-10.000000;-10.000000
0;4;2;-14.258155;-43.534431;28.672151;7.547250;10.000000
0;4;3;-48.709816;-59.568001;25.492980;10.000000;10.000000
0;4;4;28.356239;-24.387821;17.980998;-10.000000;10.000000
